Date,Action,Price,Shares
2013-02-13,BUY,46.9,2132.0
2013-02-25,SELL,43.64,2132.0
2013-02-27,BUY,45.27,2055.0
2013-03-25,SELL,52.24,2055.0
2013-04-12,BUY,52.49,2045.0
2013-04-24,SELL,51.34,2045.0
2013-04-25,BUY,53.01,1981.0
2013-05-09,SELL,51.99,1981.0
2013-05-14,BUY,58.01,1775.0
2013-06-05,SELL,61.52,1775.0
2013-06-10,BUY,64.31,1698.0
2013-06-20,SELL,61.52,1698.0
2013-07-08,BUY,63.16,1654.0
2013-07-15,SELL,60.45,1654.0
2013-07-25,BUY,71.1,1406.0
2013-08-15,SELL,70.52,1406.0
2013-08-28,BUY,72.52,1367.0
2013-09-13,SELL,72.82,1367.0
2013-09-19,BUY,74.27,1341.0
2013-10-08,SELL,71.7,1341.0
2013-10-16,BUY,75.0,1282.0
2013-10-17,SELL,72.74,1282.0
2013-10-22,BUY,75.5,1235.0
2013-11-25,SELL,86.61,1235.0
2013-12-23,BUY,83.4,1282.0
2014-01-02,SELL,80.48,1282.0
2014-01-10,BUY,86.8,1189.0
2014-01-17,SELL,83.9,1189.0
2014-02-07,BUY,84.45,1181.0
2014-03-13,SELL,103.21,1181.0
2014-04-17,BUY,85.68,1423.0
2014-04-25,SELL,77.39,1423.0
2014-05-05,BUY,84.71,1300.0
2014-05-16,SELL,82.16,1300.0
2014-05-21,BUY,88.16,1211.0
2014-07-08,SELL,101.45,1211.0
2014-07-22,BUY,104.17,1180.0
2014-07-25,SELL,99.88,1180.0
2014-08-13,BUY,96.84,1217.0
2014-09-03,SELL,98.28,1217.0
2014-09-12,BUY,99.32,1204.0
2014-09-15,SELL,95.22,1204.0
2014-10-21,BUY,88.085,1301.0
2014-11-03,SELL,85.21,1301.0
2014-11-24,BUY,71.815,1544.0
2014-12-10,SELL,72.44,1544.0
2014-12-19,BUY,75.65,1479.0
2014-12-31,SELL,74.66,1479.0
2015-02-04,BUY,71.18,1551.0
2015-02-11,SELL,67.27,1551.0
2015-02-12,BUY,82.4,1266.0
2015-03-05,SELL,87.98,1266.0
2015-03-20,BUY,86.35,1290.0
2015-03-31,SELL,83.17,1290.0
2015-04-13,BUY,83.52,1285.0
2015-04-16,SELL,82.6,1285.0
2015-05-13,BUY,81.15,1308.0
2015-05-20,SELL,79.77,1308.0
2015-06-16,BUY,76.45,1364.0
2015-06-29,SELL,85.77,1364.0
2015-07-13,BUY,90.3,1296.0
2015-07-24,SELL,80.86,1296.0
2015-09-02,BUY,69.73,1503.0
2015-09-09,SELL,66.92,1503.0
2015-09-15,BUY,70.06,1436.0
2015-09-22,SELL,67.2,1436.0
2015-10-05,BUY,67.24,1435.0
2015-10-27,SELL,81.76,1435.0
2015-11-04,BUY,82.62,1420.0
2015-11-06,SELL,77.42,1420.0
2015-11-18,BUY,83.68,1313.0
2015-12-09,SELL,82.41,1313.0
2015-12-14,BUY,83.8,1292.0
2016-01-04,SELL,82.98,1292.0
2016-02-16,BUY,63.32,1693.0
2016-03-09,SELL,60.98,1693.0
2016-03-15,BUY,66.8,1545.0
2016-03-23,SELL,61.74,1545.0
2016-03-30,BUY,66.58,1433.0
2016-04-07,SELL,63.35,1433.0
2016-04-18,BUY,65.44,1387.0
2016-04-25,SELL,62.55,1387.0
2016-04-29,BUY,64.59,1344.0
2016-06-13,SELL,66.11,1344.0
2016-06-23,BUY,65.98,1346.0
2016-06-24,SELL,61.87,1346.0
2016-07-01,BUY,64.61,1289.0
2016-08-04,SELL,63.59,1289.0
2016-08-23,BUY,62.64,1309.0
2016-08-29,SELL,61.94,1309.0
2016-09-12,BUY,63.61,1274.0
2016-09-16,SELL,61.29,1274.0
2016-09-27,BUY,64.26,1215.0
2016-10-11,SELL,63.43,1215.0
2016-10-21,BUY,62.96,1225.0
2016-11-09,SELL,52.63,1225.0
2016-11-25,BUY,51.17,1259.0
2016-11-29,SELL,49.3,1259.0
2016-12-09,BUY,49.23,1261.0
2016-12-15,SELL,47.38,1261.0
2017-01-03,BUY,47.51,1258.0
2017-01-23,SELL,51.39,1258.0
2017-01-31,BUY,52.9,1222.0
2017-02-06,SELL,51.96,1222.0
2017-03-08,BUY,43.83,1449.0
2017-03-21,SELL,41.71,1449.0
2017-03-28,BUY,43.13,1401.0
2017-04-04,SELL,41.64,1401.0
2017-04-20,BUY,42.71,1366.0
2017-05-16,SELL,45.62,1366.0
2017-06-28,BUY,38.14,1634.0
2017-07-10,SELL,36.19,1634.0
2017-07-18,BUY,38.28,1545.0
2017-07-24,SELL,37.27,1545.0
2017-07-26,BUY,39.06,1474.0
2017-08-17,SELL,39.21,1474.0
2017-08-23,BUY,41.34,1398.0
2017-09-14,SELL,42.97,1398.0
2017-10-04,BUY,43.4,1384.0
2017-10-10,SELL,40.99,1384.0
2017-11-03,BUY,38.88,1459.0
2017-11-07,SELL,30.35,1459.0
2017-11-21,BUY,32.81,1350.0
2017-12-22,SELL,34.57,1350.0
2018-01-03,BUY,34.97,1334.0
2018-01-30,SELL,34.9,1334.0
2018-02-06,BUY,40.84,1140.0
